Player_Name	Session_Date	Session_No	Session Name.2	Session_Type	Total_Distance	HID	HSR	Accelerations	Decelerations	No of Sprints	Sprint_Distance	Max_Speed	Impacts
Tin Vastic	8/13/2025	1	Aug13_AM	Practice	2.85	684	112	24	30	3	94	20.19	4
Kylen  Destefano	8/13/2025	1	Aug13_AM	Practice	2.93	802	174	51	68	5	170	21.06	14
Josh Wicks	8/13/2025	1	Aug13_AM	Practice	2.73	587	114	23	13	3	100	21.06	30
Jalen Williams	8/13/2025	1	Aug13_AM	Practice	2.55	600	155	16	7	4	138	21.06	43
Kobi Thomas	8/13/2025	1	Aug13_AM	Practice	2.85	523	103	25	12	3	101	20.55	51
Titus Beuckman	8/13/2025	1	Aug13_AM	Practice	3.01	975	117	71	55	3	104	21.16	32
Marian Rutkowski	8/13/2025	1	Aug13_AM	Practice	2.69	522	121	23	15	3	109	20.26	24
Livio Von Holzen	8/13/2025	1	Aug13_AM	Practice	2.59	412	106	23	28	3	100	19.73	10
Niklas Mahler	8/13/2025	1	Aug13_AM	Practice	2.43	421	65	27	16	2	62	17.78	5
Rufus Roth	8/13/2025	1	Aug13_AM	Practice	3.22	764	188	47	55	4	169	20.65	89
